Date,Last Price
2023-11-20,
2023-11-17,176.5379
2023-11-16,176.6006
2023-11-15,177.0548
2023-11-14,175.5562
2023-11-13,175.8336
2023-11-10,175.8903
2023-11-09,175.9496
2023-11-08,175.6645
2023-11-07,175.0495
2023-11-06,174.851
2023-11-03,173.6161
2023-11-02,173.8605
2023-11-01,173.4825
2023-10-31,173.8414
2023-10-30,172.6046
2023-10-27,172.9983
2023-10-26,173.2131
2023-10-25,173.3507
2023-10-24,173.4116
2023-10-23,172.9918
2023-10-20,173.2442
2023-10-19,173.2688
2023-10-18,173.729
2023-10-17,173.9857
2023-10-16,174.2519
2023-10-13,174.278
2023-10-12,174.6404
2023-10-11,174.0954
2023-10-10,173.7457
2023-10-09,173.3531
2023-10-06,173.641
2023-10-05,173.1199
2023-10-04,173.1026
2023-10-03,173.8443
2023-10-02,174.5271
2023-09-29,174.4391
2023-09-28,174.5265
2023-09-27,174.5684
2023-09-26,174.272
2023-09-25,174.5364
2023-09-22,174.151
2023-09-21,173.6461
2023-09-20,174.1585
2023-09-19,174.2087
2023-09-18,174.3114
2023-09-15,174.7723
2023-09-14,174.3403
2023-09-13,174.2857
2023-09-12,173.9412
2023-09-11,173.4066
2023-09-08,174.1308
2023-09-07,173.7754
2023-09-06,174.4737
2023-09-05,174.5892
2023-09-04,174.4925
2023-09-01,174.5838
2023-08-31,173.8805
2023-08-30,173.9788
2023-08-29,174.2103
2023-08-28,174.2196
2023-08-25,174.1781
2023-08-24,173.8698
2023-08-23,172.8478
2023-08-22,173.529
2023-08-21,173.6631
2023-08-18,173.305
2023-08-17,173.4111
2023-08-16,173.9105
2023-08-15,173.489
2023-08-14,173.9416
2023-08-11,174.0759
2023-08-10,174.2802
2023-08-09,174.0509
2023-08-08,173.2245
2023-08-07,172.7569
2023-08-04,172.3585
2023-08-03,172.7696
2023-08-02,173.8211
2023-08-01,174.3259
2023-07-31,173.9764
2023-07-28,173.0591
2023-07-27,174.6922
2023-07-26,173.8821
2023-07-25,174.3622
2023-07-24,173.9766
2023-07-21,174.1545
2023-07-20,173.4798
2023-07-19,172.5921
2023-07-18,172.2328
2023-07-17,172.5204
2023-07-14,172.4696
2023-07-13,172.1332
2023-07-12,171.5517
2023-07-11,172.7242
2023-07-10,172.7112
2023-07-07,173.4809
2023-07-06,175.0571
