Date,PX_BID,PX_LAST
11/2/2023,2.717,2.717
11/1/2023,2.764,2.764
10/31/2023,2.806,2.806
10/30/2023,2.822,2.822
10/27/2023,2.832,2.832
10/26/2023,2.861,2.861
10/25/2023,2.889,2.889
10/24/2023,2.828,2.828
10/23/2023,2.874,2.874
10/20/2023,2.889,2.889
10/19/2023,2.931,2.931
10/18/2023,2.924,2.924
10/17/2023,2.882,2.882
10/16/2023,2.785,2.785
10/13/2023,2.737,2.737
10/12/2023,2.786,2.786
10/11/2023,2.718,2.718
10/10/2023,2.775,2.775
10/9/2023,2.772,2.772
10/6/2023,2.884,2.884
10/5/2023,2.878,2.878
10/4/2023,2.919,2.919
10/3/2023,2.968,2.968
10/2/2023,2.922,2.922
9/29/2023,2.839,2.839
9/28/2023,2.93,2.93
9/27/2023,2.843,2.843
9/26/2023,2.808,2.808
9/25/2023,2.798,2.798
9/22/2023,2.739,2.739
9/21/2023,2.737,2.737
9/20/2023,2.702,2.702
9/19/2023,2.738,2.738
9/18/2023,2.708,2.708
9/15/2023,2.675,2.675
9/14/2023,2.593,2.593
9/13/2023,2.651,2.651
9/12/2023,2.643,2.643
9/11/2023,2.638,2.638
9/8/2023,2.61,2.61
9/7/2023,2.614,2.614
9/6/2023,2.653,2.653
9/5/2023,2.612,2.612
9/4/2023,2.579,2.579
9/1/2023,2.549,2.549
8/31/2023,2.466,2.466
8/30/2023,2.545,2.545
8/29/2023,2.51,2.51
8/28/2023,2.564,2.564
8/25/2023,2.561,2.561
8/24/2023,2.513,2.513
8/23/2023,2.517,2.517
8/22/2023,2.645,2.645
8/21/2023,2.703,2.703
8/18/2023,2.622,2.622
8/17/2023,2.709,2.709
8/16/2023,2.65,2.65
8/15/2023,2.672,2.672
8/14/2023,2.637,2.637
8/11/2023,2.623,2.623
8/10/2023,2.528,2.528
8/9/2023,2.497,2.497
8/8/2023,2.469,2.469
8/7/2023,2.601,2.601
8/4/2023,2.562,2.562
8/3/2023,2.605,2.605
8/2/2023,2.535,2.535
8/1/2023,2.557,2.557
7/31/2023,2.492,2.492
7/28/2023,2.492,2.492
7/27/2023,2.474,2.474
7/26/2023,2.485,2.485
7/25/2023,2.425,2.425
7/24/2023,2.425,2.425
7/21/2023,2.469,2.469
7/20/2023,2.49,2.49
7/19/2023,2.438,2.438
7/18/2023,2.389,2.389
7/17/2023,2.48,2.48
7/14/2023,2.512,2.512
7/13/2023,2.485,2.485
7/12/2023,2.578,2.578
7/11/2023,2.649,2.649
7/10/2023,2.64,2.64
7/7/2023,2.637,2.637
7/6/2023,2.626,2.626
7/5/2023,2.478,2.478
7/4/2023,2.453,2.453
7/3/2023,2.437,2.437
6/30/2023,2.392,2.392
6/29/2023,2.416,2.416
6/28/2023,2.315,2.315
6/27/2023,2.356,2.356
6/26/2023,2.309,2.309
6/23/2023,2.353,2.353
6/22/2023,2.494,2.494
6/21/2023,2.435,2.435
6/20/2023,2.405,2.405
6/19/2023,2.517,2.517
6/16/2023,2.474,2.474
6/15/2023,2.504,2.504
6/14/2023,2.452,2.452
6/13/2023,2.423,2.423
6/12/2023,2.388,2.388
6/9/2023,2.377,2.377
6/8/2023,2.402,2.402
6/7/2023,2.456,2.456
6/6/2023,2.372,2.372
6/5/2023,2.381,2.381
6/2/2023,2.312,2.312
