Date,Open,High,Low,Close
2023-11-20,,,,
2023-11-17,446.9313,446.9313,446.9313,446.9313
2023-11-16,446.0444,446.0444,446.0444,446.0444
2023-11-15,444.3006,444.3006,444.3006,444.3006
2023-11-14,444.4007,444.4007,444.4007,444.4007
2023-11-13,438.6501,438.6501,438.6501,438.6501
2023-11-10,438.4627,438.4627,438.4627,438.4627
2023-11-09,439.639,439.639,439.639,439.639
2023-11-08,441.1429,441.1429,441.1429,441.1429
2023-11-07,439.8622,439.8622,439.8622,439.8622
2023-11-06,439.5807,439.5807,439.5807,439.5807
2023-11-03,440.3894,440.3894,440.3894,440.3894
2023-11-02,436.1851,436.1851,436.1851,436.1851
2023-11-01,432.8777,432.8777,432.8777,432.8777
2023-10-31,430.8629,430.8629,430.8629,430.8629
2023-10-30,432.3659,432.3659,432.3659,432.3659
2023-10-27,432.0305,432.0305,432.0305,432.0305
2023-10-26,431.0337,431.0337,431.0337,431.0337
2023-10-25,430.3339,430.3339,430.3339,430.3339
2023-10-24,432.3472,432.3472,432.3472,432.3472
2023-10-23,431.5238,431.5238,431.5238,431.5238
2023-10-20,430.2052,430.2052,430.2052,430.2052
2023-10-19,429.0545,429.0545,429.0545,429.0545
2023-10-18,430.0635,430.0635,430.0635,430.0635
2023-10-17,432.0602,432.0602,432.0602,432.0602
2023-10-16,433.91,433.91,433.91,433.91
2023-10-13,434.5876,434.5876,434.5876,434.5876
2023-10-12,434.2889,434.2889,434.2889,434.2889
2023-10-11,437.4015,437.4015,437.4015,437.4015
2023-10-10,435.5605,435.5605,435.5605,435.5605
2023-10-09,432.9084,432.9084,432.9084,432.9084
2023-10-06,431.6016,431.6016,431.6016,431.6016
2023-10-05,432.6223,432.6223,432.6223,432.6223
2023-10-04,431.4656,431.4656,431.4656,431.4656
2023-10-03,430.4291,430.4291,430.4291,430.4291
2023-10-02,432.6728,432.6728,432.6728,432.6728
2023-09-29,436.0752,436.0752,436.0752,436.0752
2023-09-28,434.7936,434.7936,434.7936,434.7936
2023-09-27,434.6512,434.6512,434.6512,434.6512
2023-09-26,436.6856,436.6856,436.6856,436.6856
2023-09-25,437.104,437.104,437.104,437.104
2023-09-22,440.1722,440.1722,440.1722,440.1722
2023-09-21,439.637,439.637,439.637,439.637
2023-09-20,442.2123,442.2123,442.2123,442.2123
2023-09-19,441.7061,441.7061,441.7061,441.7061
2023-09-18,442.1982,442.1982,442.1982,442.1982
2023-09-15,442.3454,442.3454,442.3454,442.3454
2023-09-14,443.7353,443.7353,443.7353,443.7353
2023-09-13,443.939,443.939,443.939,443.939
2023-09-12,443.3792,443.3792,443.3792,443.3792
2023-09-11,443.7947,443.7947,443.7947,443.7947
2023-09-08,443.5874,443.5874,443.5874,443.5874
2023-09-07,443.21,443.21,443.21,443.21
2023-09-06,442.4954,442.4954,442.4954,442.4954
2023-09-05,443.3063,443.3063,443.3063,443.3063
2023-09-04,446.376,446.376,446.376,446.376
2023-09-01,447.329,447.329,447.329,447.329
2023-08-31,449.1976,449.1976,449.1976,449.1976
2023-08-30,448.9802,448.9802,448.9802,448.9802
2023-08-29,447.6674,447.6674,447.6674,447.6674
2023-08-28,445.5596,445.5596,445.5596,445.5596
2023-08-25,444.7706,444.7706,444.7706,444.7706
2023-08-24,446.4407,446.4407,446.4407,446.4407
2023-08-23,447.0306,447.0306,447.0306,447.0306
2023-08-22,443.7536,443.7536,443.7536,443.7536
2023-08-21,443.232,443.232,443.232,443.232
2023-08-18,445.142,445.142,445.142,445.142
2023-08-17,444.0502,444.0502,444.0502,444.0502
2023-08-16,445.2864,445.2864,445.2864,445.2864
2023-08-15,446.3238,446.3238,446.3238,446.3238
2023-08-14,446.7847,446.7847,446.7847,446.7847
2023-08-11,448.6041,448.6041,448.6041,448.6041
2023-08-10,450.9514,450.9514,450.9514,450.9514
2023-08-09,452.303,452.303,452.303,452.303
2023-08-08,451.7241,451.7241,451.7241,451.7241
2023-08-07,451.2729,451.2729,451.2729,451.2729
2023-08-04,452.043,452.043,452.043,452.043
2023-08-03,448.9838,448.9838,448.9838,448.9838
2023-08-02,450.6052,450.6052,450.6052,450.6052
2023-08-01,452.2446,452.2446,452.2446,452.2446
2023-07-31,455.4279,455.4279,455.4279,455.4279
2023-07-28,455.8217,455.8217,455.8217,455.8217
2023-07-27,454.9427,454.9427,454.9427,454.9427
2023-07-26,457.5268,457.5268,457.5268,457.5268
2023-07-25,456.6971,456.6971,456.6971,456.6971
2023-07-24,457.096,457.096,457.096,457.096
2023-07-21,457.1026,457.1026,457.1026,457.1026
2023-07-20,457.8241,457.8241,457.8241,457.8241
2023-07-19,460.0354,460.0354,460.0354,460.0354
2023-07-18,460.6894,460.6894,460.6894,460.6894
2023-07-17,459.248,459.248,459.248,459.248
2023-07-14,459.5543,459.5543,459.5543,459.5543
2023-07-13,460.0063,460.0063,460.0063,460.0063
2023-07-12,456.564,456.564,456.564,456.564
2023-07-11,451.502,451.502,451.502,451.502
2023-07-10,450.1749,450.1749,450.1749,450.1749
2023-07-07,449.3207,449.3207,449.3207,449.3207
2023-07-06,447.7974,447.7974,447.7974,447.7974
2023-07-05,450.6529,450.6529,450.6529,450.6529
2023-07-04,452.0828,452.0828,452.0828,452.0828
2023-07-03,451.8584,451.8584,451.8584,451.8584
2023-06-30,452.2958,452.2958,452.2958,452.2958
2023-06-29,451.3634,451.3634,451.3634,451.3634
2023-06-28,453.6351,453.6351,453.6351,453.6351
2023-06-27,454.1024,454.1024,454.1024,454.1024
2023-06-26,454.5694,454.5694,454.5694,454.5694
2023-06-23,453.5329,453.5329,453.5329,453.5329
2023-06-22,453.2255,453.2255,453.2255,453.2255
2023-06-21,454.8334,454.8334,454.8334,454.8334
2023-06-20,454.6691,454.6691,454.6691,454.6691
2023-06-19,453.7284,453.7284,453.7284,453.7284
2023-06-16,454.6965,454.6965,454.6965,454.6965
2023-06-15,454.5754,454.5754,454.5754,454.5754
2023-06-14,453.4055,453.4055,453.4055,453.4055
2023-06-13,452.5379,452.5379,452.5379,452.5379
2023-06-12,453.0249,453.0249,453.0249,453.0249
2023-06-09,453.0751,453.0751,453.0751,453.0751
2023-06-08,453.0117,453.0117,453.0117,453.0117
2023-06-07,451.1545,451.1545,451.1545,451.1545
2023-06-06,452.2325,452.2325,452.2325,452.2325
2023-06-05,452.1554,452.1554,452.1554,452.1554
2023-06-02,453.1773,453.1773,453.1773,453.1773
2023-06-01,454.3344,454.3344,454.3344,454.3344
2023-05-31,452.3312,452.3312,452.3312,452.3312
2023-05-30,451.6693,451.6693,451.6693,451.6693
2023-05-29,448.7824,448.7824,448.7824,448.7824
2023-05-26,448.0348,448.0348,448.0348,448.0348
2023-05-25,448.8317,448.8317,448.8317,448.8317
2023-05-24,451.2457,451.2457,451.2457,451.2457
2023-05-23,452.3192,452.3192,452.3192,452.3192
2023-05-22,452.8474,452.8474,452.8474,452.8474
2023-05-19,452.9825,452.9825,452.9825,452.9825
2023-05-18,453.1027,453.1027,453.1027,453.1027
2023-05-17,456.4099,456.4099,456.4099,456.4099
2023-05-16,457.7824,457.7824,457.7824,457.7824
2023-05-15,458.7993,458.7993,458.7993,458.7993
2023-05-12,459.9093,459.9093,459.9093,459.9093
2023-05-11,462.3752,462.3752,462.3752,462.3752
2023-05-10,461.9906,461.9906,461.9906,461.9906
2023-05-09,459.7722,459.7722,459.7722,459.7722
2023-05-08,461.0355,461.0355,461.0355,461.0355
2023-05-05,462.0432,462.0432,462.0432,462.0432
2023-05-04,463.3134,463.3134,463.3134,463.3134
2023-05-03,463.0093,463.0093,463.0093,463.0093
2023-05-02,460.6088,460.6088,460.6088,460.6088
2023-05-01,458.2306,458.2306,458.2306,458.2306
2023-04-28,461.3495,461.3495,461.3495,461.3495
2023-04-27,459.214,459.214,459.214,459.214
2023-04-26,461.3348,461.3348,461.3348,461.3348
2023-04-25,461.115,461.115,461.115,461.115
2023-04-24,459.4095,459.4095,459.4095,459.4095
2023-04-21,457.9466,457.9466,457.9466,457.9466
2023-04-20,458.8781,458.8781,458.8781,458.8781
2023-04-19,457.0721,457.0721,457.0721,457.0721
2023-04-18,458.2362,458.2362,458.2362,458.2362
2023-04-17,457.0727,457.0727,457.0727,457.0727
2023-04-14,460.3104,460.3104,460.3104,460.3104
2023-04-13,462.5672,462.5672,462.5672,462.5672
