Security,LP06TREU Index,
Start Date,11/7/2000 0:00,
End Date,11/3/2023 0:00,
Period,D,
,,
Date,PX_LAST,PX_VOLUME
#NAME?,207.0341,#N/A N/A
11/2/2023,205.9037,#N/A N/A
11/1/2023,205.1713,#N/A N/A
10/31/2023,204.5729,#N/A N/A
10/30/2023,204.1771,#N/A N/A
10/27/2023,204.0118,#N/A N/A
10/26/2023,203.7422,#N/A N/A
10/25/2023,203.2453,#N/A N/A
10/24/2023,203.8041,#N/A N/A
10/23/2023,203.2781,#N/A N/A
10/20/2023,202.9993,#N/A N/A
10/19/2023,202.5808,#N/A N/A
10/18/2023,202.7247,#N/A N/A
10/17/2023,203.4186,#N/A N/A
10/16/2023,204.4476,#N/A N/A
10/13/2023,204.9027,#N/A N/A
10/12/2023,204.6787,#N/A N/A
10/11/2023,205.486,#N/A N/A
10/10/2023,204.4658,#N/A N/A
10/9/2023,204.1821,#N/A N/A
10/6/2023,202.8866,#N/A N/A
10/5/2023,203.1407,#N/A N/A
10/4/2023,202.5043,#N/A N/A
10/3/2023,202.4752,#N/A N/A
10/2/2023,203.1607,#N/A N/A
9/29/2023,204.0886,#N/A N/A
9/28/2023,202.4296,#N/A N/A
9/27/2023,204.1516,#N/A N/A
9/26/2023,204.3459,#N/A N/A
9/25/2023,204.626,#N/A N/A
9/22/2023,205.1796,#N/A N/A
9/21/2023,205.3018,#N/A N/A
9/20/2023,205.8072,#N/A N/A
9/19/2023,205.3023,#N/A N/A
9/18/2023,205.2793,#N/A N/A
9/15/2023,205.9588,#N/A N/A
9/14/2023,207.0731,#N/A N/A
9/13/2023,206.0313,#N/A N/A
9/12/2023,206.1107,#N/A N/A
9/11/2023,206.0975,#N/A N/A
9/8/2023,206.6841,#N/A N/A
9/7/2023,206.2753,#N/A N/A
9/6/2023,205.8406,#N/A N/A
9/5/2023,206.5645,#N/A N/A
9/4/2023,206.8944,#N/A N/A
9/1/2023,207.4236,#N/A N/A
8/31/2023,208.2027,#N/A N/A
8/30/2023,207.2001,#N/A N/A
8/29/2023,207.2253,#N/A N/A
8/28/2023,206.6204,#N/A N/A
8/25/2023,206.7802,#N/A N/A
8/24/2023,207.3051,#N/A N/A
8/23/2023,207.2799,#N/A N/A
8/22/2023,205.6074,#N/A N/A
8/21/2023,204.7263,#N/A N/A
8/18/2023,205.6102,#N/A N/A
8/17/2023,204.9824,#N/A N/A
8/16/2023,205.6122,#N/A N/A
8/15/2023,205.3311,#N/A N/A
8/14/2023,205.7687,#N/A N/A
8/11/2023,205.9696,#N/A N/A
8/10/2023,207.0801,#N/A N/A
8/9/2023,207.4432,#N/A N/A
8/8/2023,207.7681,#N/A N/A
8/7/2023,206.4083,#N/A N/A
8/4/2023,206.6307,#N/A N/A
8/3/2023,206.3948,#N/A N/A
8/2/2023,206.9861,#N/A N/A
8/1/2023,206.8848,#N/A N/A
7/31/2023,207.9051,#N/A N/A
7/28/2023,207.6629,#N/A N/A
7/27/2023,207.7913,#N/A N/A
7/26/2023,207.6768,#N/A N/A
7/25/2023,208.0707,#N/A N/A
7/24/2023,208.1117,#N/A N/A
7/21/2023,207.6272,#N/A N/A
7/20/2023,207.2362,#N/A N/A
7/19/2023,208.0097,#N/A N/A
7/18/2023,208.3937,#N/A N/A
7/17/2023,206.8367,#N/A N/A
7/14/2023,206.7837,#N/A N/A
7/13/2023,206.9382,#N/A N/A
7/12/2023,205.7024,#N/A N/A
7/11/2023,204.5018,#N/A N/A
7/10/2023,204.462,#N/A N/A
7/7/2023,204.6093,#N/A N/A
7/6/2023,204.4885,#N/A N/A
7/5/2023,206.4288,#N/A N/A
7/4/2023,206.5376,#N/A N/A
7/3/2023,206.6134,#N/A N/A
6/30/2023,207.018,#N/A N/A
6/29/2023,206.7699,#N/A N/A
6/28/2023,207.5805,#N/A N/A
6/27/2023,207.3587,#N/A N/A
6/26/2023,208.0906,#N/A N/A
6/23/2023,207.6298,#N/A N/A
6/22/2023,206.0715,#N/A N/A
6/21/2023,206.6182,#N/A N/A
6/20/2023,207.1418,#N/A N/A
6/19/2023,205.8271,#N/A N/A
6/16/2023,206.7088,#N/A N/A
6/15/2023,206.003,#N/A N/A
6/14/2023,206.4735,#N/A N/A
6/13/2023,206.6146,#N/A N/A
6/12/2023,207.1945,#N/A N/A
6/9/2023,207.4325,#N/A N/A
6/8/2023,206.6078,#N/A N/A
6/7/2023,206.4163,#N/A N/A
6/6/2023,206.9093,#N/A N/A
6/5/2023,206.8536,#N/A N/A
6/2/2023,207.7477,#N/A N/A
6/1/2023,208.126,#N/A N/A
5/31/2023,207.6872,#N/A N/A
5/30/2023,206.5921,#N/A N/A
5/29/2023,205.3408,#N/A N/A
5/26/2023,204.1891,#N/A N/A
5/25/2023,204.6471,#N/A N/A
5/24/2023,205.3279,#N/A N/A
5/23/2023,205.3832,#N/A N/A
5/22/2023,205.6941,#N/A N/A
5/19/2023,206.0674,#N/A N/A
5/18/2023,205.8176,#N/A N/A
5/17/2023,207.3234,#N/A N/A
5/16/2023,207.2664,#N/A N/A
5/15/2023,207.7847,#N/A N/A
