Date,Last Price
2023-11-20,
2023-11-17,208.6425
2023-11-16,208.8327
2023-11-15,208.0263
2023-11-14,208.3478
2023-11-13,206.4953
2023-11-10,206.4582
2023-11-09,207.1551
2023-11-08,207.4227
2023-11-07,206.9567
2023-11-06,206.1562
2023-11-03,207.0341
2023-11-02,205.9037
2023-11-01,205.1713
2023-10-31,204.5729
2023-10-30,204.1771
2023-10-27,204.0118
2023-10-26,203.7422
2023-10-25,203.2453
2023-10-24,203.8041
2023-10-23,203.2781
2023-10-20,202.9993
2023-10-19,202.5808
2023-10-18,202.7247
2023-10-17,203.4186
2023-10-16,204.4476
2023-10-13,204.9027
2023-10-12,204.6787
2023-10-11,205.486
2023-10-10,204.4658
2023-10-09,204.1821
2023-10-06,202.8866
2023-10-05,203.1407
2023-10-04,202.5043
2023-10-03,202.4752
2023-10-02,203.1607
2023-09-29,204.0886
2023-09-28,202.4296
2023-09-27,204.1516
2023-09-26,204.3459
2023-09-25,204.626
2023-09-22,205.1796
2023-09-21,205.3018
2023-09-20,205.8072
2023-09-19,205.3023
2023-09-18,205.2793
2023-09-15,205.9588
2023-09-14,207.0731
2023-09-13,206.0313
2023-09-12,206.1107
2023-09-11,206.0975
2023-09-08,206.6841
2023-09-07,206.2753
2023-09-06,205.8406
2023-09-05,206.5645
2023-09-04,206.8944
2023-09-01,207.4236
2023-08-31,208.2027
2023-08-30,207.2001
2023-08-29,207.2253
2023-08-28,206.6204
2023-08-25,206.7802
2023-08-24,207.3051
2023-08-23,207.2799
2023-08-22,205.6074
2023-08-21,204.7263
2023-08-18,205.6102
2023-08-17,204.9824
2023-08-16,205.6122
2023-08-15,205.3311
2023-08-14,205.7687
2023-08-11,205.9696
2023-08-10,207.0801
2023-08-09,207.4432
2023-08-08,207.7681
2023-08-07,206.4083
2023-08-04,206.6307
2023-08-03,206.3948
2023-08-02,206.9861
2023-08-01,206.8848
2023-07-31,207.9051
2023-07-28,207.6629
2023-07-27,207.7913
2023-07-26,207.6768
2023-07-25,208.0707
2023-07-24,208.1117
2023-07-21,207.6272
2023-07-20,207.2362
2023-07-19,208.0097
2023-07-18,208.3937
2023-07-17,206.8367
2023-07-14,206.7837
2023-07-13,206.9382
2023-07-12,205.7024
2023-07-11,204.5018
2023-07-10,204.462
2023-07-07,204.6093
2023-07-06,204.4885
2023-07-05,206.4288
2023-07-04,206.5376
2023-07-03,206.6134
2023-06-30,207.018
2023-06-29,206.7699
2023-06-28,207.5805
2023-06-27,207.3587
2023-06-26,208.0906
2023-06-23,207.6298
2023-06-22,206.0715
2023-06-21,206.6182
2023-06-20,207.1418
2023-06-19,205.8271
2023-06-16,206.7088
2023-06-15,206.003
2023-06-14,206.4735
2023-06-13,206.6146
2023-06-12,207.1945
2023-06-09,207.4325
2023-06-08,206.6078
2023-06-07,206.4163
2023-06-06,206.9093
2023-06-05,206.8536
2023-06-02,207.7477
2023-06-01,208.126
2023-05-31,207.6872
2023-05-30,206.5921
2023-05-29,205.3408
2023-05-26,204.1891
2023-05-25,204.6471
2023-05-24,205.3279
2023-05-23,205.3832
2023-05-22,205.6941
2023-05-19,206.0674
2023-05-18,205.8176
2023-05-17,207.3234
2023-05-16,207.2664
2023-05-15,207.7847
2023-05-12,208.1106
2023-05-11,208.6537
2023-05-10,207.9215
2023-05-09,207.3231
2023-05-08,207.502
2023-05-05,207.7774
2023-05-04,208.6896
2023-05-03,207.8468
2023-05-02,207.9414
2023-05-01,207.473
2023-04-28,207.4288
2023-04-27,205.7496
2023-04-26,206.5425
2023-04-25,206.6849
2023-04-24,205.4078
2023-04-21,205.3302
2023-04-20,205.7747
2023-04-19,205.1902
2023-04-18,205.8978
2023-04-17,205.6362
2023-04-14,206.1533
2023-04-13,206.9597
2023-04-12,207.0514
2023-04-11,207.7404
2023-04-06,209.2377
2023-04-05,209.3288
2023-04-04,208.4348
2023-04-03,208.6097
2023-03-31,207.4687
2023-03-30,206.8093
2023-03-29,207.5157
2023-03-28,207.5483
2023-03-27,208.5995
2023-03-24,209.483
2023-03-23,208.4546
2023-03-22,206.8848
2023-03-21,207.6774
2023-03-20,209.2303
2023-03-17,209.4568
2023-03-16,208.0426
2023-03-15,208.9686
2023-03-14,205.455
2023-03-13,207.5224
2023-03-10,205.2343
2023-03-09,203.082
2023-03-08,203.212
2023-03-07,202.3278
2023-03-06,202.2947
2023-03-03,202.1848
2023-03-02,201.8836
2023-03-01,202.133
2023-02-28,203.4586
2023-02-27,203.884
2023-02-24,204.3177
2023-02-23,205.2256
2023-02-22,204.8248
2023-02-21,204.6612
2023-02-20,205.6769
2023-02-17,205.5659
2023-02-16,205.4166
2023-02-15,205.721
2023-02-14,206.4379
2023-02-13,207.1219
2023-02-10,207.1864
2023-02-09,208.2087
2023-02-08,207.4265
2023-02-07,207.9235
2023-02-06,208.0501
2023-02-03,209.195
2023-02-02,211.2175
2023-02-01,207.5094
2023-01-31,207.7535
2023-01-30,207.7848
2023-01-27,208.4604
2023-01-26,208.7945
2023-01-25,209.2962
2023-01-24,209.2381
2023-01-23,208.7293
2023-01-20,209.2139
2023-01-19,210.7667
2023-01-18,211.4
2023-01-17,209.972
2023-01-16,208.5172
