Date,PX_LAST,PX_VOLUME
11/2/2023,2023.84,#N/A N/A
11/1/2023,2011.47,#N/A N/A
10/31/2023,1992.08,#N/A N/A
10/30/2023,1994.02,#N/A N/A
10/27/2023,1998.02,#N/A N/A
10/26/2023,1997.76,#N/A N/A
10/25/2023,1984.88,#N/A N/A
10/24/2023,1999.4,#N/A N/A
10/23/2023,1992.61,#N/A N/A
10/20/2023,1984.56,#N/A N/A
10/19/2023,1978.32,#N/A N/A
10/18/2023,1986.46,#N/A N/A
10/17/2023,1995.72,#N/A N/A
10/16/2023,2009.65,#N/A N/A
10/13/2023,2019.41,#N/A N/A
10/12/2023,2009.85,#N/A N/A
10/11/2023,2027.31,#N/A N/A
10/10/2023,2018.07,#N/A N/A
10/6/2023,2000.31,#N/A N/A
10/5/2023,2008.02,#N/A N/A
10/4/2023,2007.22,#N/A N/A
10/3/2023,1994.1,#N/A N/A
10/2/2023,2010.12,#N/A N/A
9/29/2023,2024.02,#N/A N/A
9/28/2023,2025.17,#N/A N/A
9/27/2023,2019.73,#N/A N/A
9/26/2023,2027.5,#N/A N/A
9/25/2023,2029.53,#N/A N/A
9/22/2023,2043.73,#N/A N/A
9/21/2023,2036.24,#N/A N/A
9/20/2023,2049.92,#N/A N/A
9/19/2023,2051.06,#N/A N/A
9/18/2023,2057.23,#N/A N/A
9/15/2023,2054.1,#N/A N/A
9/14/2023,2059,#N/A N/A
9/13/2023,2062.37,#N/A N/A
9/12/2023,2059.5,#N/A N/A
9/11/2023,2057.83,#N/A N/A
9/8/2023,2060.85,#N/A N/A
9/7/2023,2058.69,#N/A N/A
9/6/2023,2053.32,#N/A N/A
9/5/2023,2056.31,#N/A N/A
9/1/2023,2067.05,#N/A N/A
8/31/2023,2076.8,#N/A N/A
8/30/2023,2073.37,#N/A N/A
8/29/2023,2074.59,#N/A N/A
8/28/2023,2062.02,#N/A N/A
8/25/2023,2057.23,#N/A N/A
8/24/2023,2056.97,#N/A N/A
8/23/2023,2062.22,#N/A N/A
8/22/2023,2043.64,#N/A N/A
8/21/2023,2041.7,#N/A N/A
8/18/2023,2051.48,#N/A N/A
8/17/2023,2047.26,#N/A N/A
8/16/2023,2049.07,#N/A N/A
8/15/2023,2055,#N/A N/A
