Date,Last Price
2023-11-20,
2023-11-17,2059.86
2023-11-16,2056.6
2023-11-15,2045.26
2023-11-14,2056.98
2023-11-13,2032.8
2023-11-10,2031.96
2023-11-09,2029.58
2023-11-08,2045.43
2023-11-07,2038.72
2023-11-06,2028.84
2023-11-03,2037.88
2023-11-02,2023.84
2023-11-01,2011.47
2023-10-31,1992.08
2023-10-30,1994.02
2023-10-27,1998.02
2023-10-26,1997.76
2023-10-25,1984.88
2023-10-24,1999.4
2023-10-23,1992.61
2023-10-20,1984.56
2023-10-19,1978.32
2023-10-18,1986.46
2023-10-17,1995.72
2023-10-16,2009.65
2023-10-13,2019.41
2023-10-12,2009.85
2023-10-11,2027.31
2023-10-10,2018.07
2023-10-06,2000.31
2023-10-05,2008.02
2023-10-04,2007.22
2023-10-03,1994.1
2023-10-02,2010.12
2023-09-29,2024.02
2023-09-28,2025.17
2023-09-27,2019.73
2023-09-26,2027.5
2023-09-25,2029.53
2023-09-22,2043.73
2023-09-21,2036.24
2023-09-20,2049.92
2023-09-19,2051.06
2023-09-18,2057.23
2023-09-15,2054.1
2023-09-14,2059.0
2023-09-13,2062.37
2023-09-12,2059.5
2023-09-11,2057.83
2023-09-08,2060.85
2023-09-07,2058.69
2023-09-06,2053.32
2023-09-05,2056.31
2023-09-01,2067.05
2023-08-31,2076.8
2023-08-30,2073.37
2023-08-29,2074.59
2023-08-28,2062.02
2023-08-25,2057.23
2023-08-24,2056.97
2023-08-23,2062.22
2023-08-22,2043.64
2023-08-21,2041.7
2023-08-18,2051.48
2023-08-17,2047.26
2023-08-16,2049.07
2023-08-15,2055.0
2023-08-14,2059.55
2023-08-11,2061.86
2023-08-10,2069.47
2023-08-09,2081.73
2023-08-08,2079.54
2023-08-07,2072.54
2023-08-04,2075.18
2023-08-03,2058.15
2023-08-02,2072.07
2023-08-01,2078.36
2023-07-31,2090.15
2023-07-28,2087.52
2023-07-27,2080.21
2023-07-26,2096.98
2023-07-25,2091.26
2023-07-24,2093.34
