Date,PX_LAST,PX_VOLUME
11/2/2023,173.8605,#N/A N/A
11/1/2023,173.4825,#N/A N/A
10/31/2023,173.8414,#N/A N/A
10/30/2023,172.6046,#N/A N/A
10/27/2023,172.9983,#N/A N/A
10/26/2023,173.2131,#N/A N/A
10/25/2023,173.3507,#N/A N/A
10/24/2023,173.4116,#N/A N/A
10/23/2023,172.9918,#N/A N/A
10/20/2023,173.2442,#N/A N/A
10/19/2023,173.2688,#N/A N/A
10/18/2023,173.729,#N/A N/A
10/17/2023,173.9857,#N/A N/A
10/16/2023,174.2519,#N/A N/A
10/13/2023,174.278,#N/A N/A
10/12/2023,174.6404,#N/A N/A
10/11/2023,174.0954,#N/A N/A
10/10/2023,173.7457,#N/A N/A
10/9/2023,173.3531,#N/A N/A
10/6/2023,173.641,#N/A N/A
10/5/2023,173.1199,#N/A N/A
10/4/2023,173.1026,#N/A N/A
10/3/2023,173.8443,#N/A N/A
10/2/2023,174.5271,#N/A N/A
9/29/2023,174.4391,#N/A N/A
9/28/2023,174.5265,#N/A N/A
9/27/2023,174.5684,#N/A N/A
9/26/2023,174.272,#N/A N/A
9/25/2023,174.5364,#N/A N/A
9/22/2023,174.151,#N/A N/A
9/21/2023,173.6461,#N/A N/A
9/20/2023,174.1585,#N/A N/A
9/19/2023,174.2087,#N/A N/A
9/18/2023,174.3114,#N/A N/A
9/15/2023,174.7723,#N/A N/A
9/14/2023,174.3403,#N/A N/A
9/13/2023,174.2857,#N/A N/A
9/12/2023,173.9412,#N/A N/A
9/11/2023,173.4066,#N/A N/A
9/8/2023,174.1308,#N/A N/A
9/7/2023,173.7754,#N/A N/A
9/6/2023,174.4737,#N/A N/A
9/5/2023,174.5892,#N/A N/A
9/4/2023,174.4925,#N/A N/A
9/1/2023,174.5838,#N/A N/A
8/31/2023,173.8805,#N/A N/A
8/30/2023,173.9788,#N/A N/A
8/29/2023,174.2103,#N/A N/A
8/28/2023,174.2196,#N/A N/A
8/25/2023,174.1781,#N/A N/A
8/24/2023,173.8698,#N/A N/A
8/23/2023,172.8478,#N/A N/A
8/22/2023,173.529,#N/A N/A
8/21/2023,173.6631,#N/A N/A
8/18/2023,173.305,#N/A N/A
8/17/2023,173.4111,#N/A N/A
8/16/2023,173.9105,#N/A N/A
8/15/2023,173.489,#N/A N/A
8/14/2023,173.9416,#N/A N/A
8/11/2023,174.0759,#N/A N/A
8/10/2023,174.2802,#N/A N/A
8/9/2023,174.0509,#N/A N/A
8/8/2023,173.2245,#N/A N/A
8/7/2023,172.7569,#N/A N/A
8/4/2023,172.3585,#N/A N/A
8/3/2023,172.7696,#N/A N/A
8/2/2023,173.8211,#N/A N/A
8/1/2023,174.3259,#N/A N/A
7/31/2023,173.9764,#N/A N/A
7/28/2023,173.0591,#N/A N/A
7/27/2023,174.6922,#N/A N/A
7/26/2023,173.8821,#N/A N/A
7/25/2023,174.3622,#N/A N/A
7/24/2023,173.9766,#N/A N/A
7/21/2023,174.1545,#N/A N/A
7/20/2023,173.4798,#N/A N/A
7/19/2023,172.5921,#N/A N/A
7/18/2023,172.2328,#N/A N/A
7/17/2023,172.5204,#N/A N/A
7/14/2023,172.4696,#N/A N/A
7/13/2023,172.1332,#N/A N/A
7/12/2023,171.5517,#N/A N/A
7/11/2023,172.7242,#N/A N/A
7/10/2023,172.7112,#N/A N/A
7/7/2023,173.4809,#N/A N/A
7/6/2023,175.0571,#N/A N/A
7/5/2023,175.4948,#N/A N/A
7/4/2023,175.5974,#N/A N/A
7/3/2023,175.2038,#N/A N/A
6/30/2023,174.9025,#N/A N/A
6/29/2023,175.247,#N/A N/A
6/28/2023,175.1571,#N/A N/A
6/27/2023,175.429,#N/A N/A
6/26/2023,174.9267,#N/A N/A
6/23/2023,175.1122,#N/A N/A
6/22/2023,174.7283,#N/A N/A
6/21/2023,174.3304,#N/A N/A
6/20/2023,173.9915,#N/A N/A
6/19/2023,174.5158,#N/A N/A
6/16/2023,174.741,#N/A N/A
6/15/2023,173.6433,#N/A N/A
6/14/2023,173.0327,#N/A N/A
6/13/2023,173.3712,#N/A N/A
6/12/2023,172.9265,#N/A N/A
6/9/2023,172.8407,#N/A N/A
6/8/2023,172.2661,#N/A N/A
6/7/2023,172.995,#N/A N/A
6/6/2023,172.9531,#N/A N/A
6/5/2023,172.7312,#N/A N/A
6/2/2023,173.2744,#N/A N/A
6/1/2023,172.2208,#N/A N/A
5/31/2023,172.6055,#N/A N/A
5/30/2023,172.7262,#N/A N/A
5/29/2023,173.1029,#N/A N/A
5/26/2023,173.3993,#N/A N/A
5/25/2023,172.8271,#N/A N/A
5/24/2023,172.938,#N/A N/A
5/23/2023,172.8348,#N/A N/A
5/22/2023,173.179,#N/A N/A
5/19/2023,172.9667,#N/A N/A
5/18/2023,173.0498,#N/A N/A
5/17/2023,172.8153,#N/A N/A
5/16/2023,172.3508,#N/A N/A
5/15/2023,172.1987,#N/A N/A
5/12/2023,171.8602,#N/A N/A
5/11/2023,171.4997,#N/A N/A
5/10/2023,171.3999,#N/A N/A
5/9/2023,171.6463,#N/A N/A
5/8/2023,171.7909,#N/A N/A
5/5/2023,171.7276,#N/A N/A
5/4/2023,170.8134,#N/A N/A
5/3/2023,171.278,#N/A N/A
5/2/2023,172.0241,#N/A N/A
5/1/2023,172.7707,#N/A N/A
4/28/2023,172.0236,#N/A N/A
4/27/2023,170.1868,#N/A N/A
4/26/2023,169.6687,#N/A N/A
4/25/2023,169.7561,#N/A N/A
4/24/2023,170.338,#N/A N/A
4/21/2023,170.4235,#N/A N/A
4/20/2023,170.3125,#N/A N/A
4/19/2023,170.4642,#N/A N/A
4/18/2023,170.257,#N/A N/A
4/17/2023,170.6853,#N/A N/A
4/14/2023,170.5983,#N/A N/A
4/13/2023,169.782,#N/A N/A
4/12/2023,169.9237,#N/A N/A
4/11/2023,170.0428,#N/A N/A
4/10/2023,170.2396,#N/A N/A
4/7/2023,168.9154,#N/A N/A
4/6/2023,168.7233,#N/A N/A
4/5/2023,168.0699,#N/A N/A
4/4/2023,168.7135,#N/A N/A
4/3/2023,169.1498,#N/A N/A
